keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count,total_rank
suitable for,26,10.7,"['Skincare', 'Household Cleaners', 'Toilet Cleaners', 'Sun Care']",4.2,4681.0,4,25.2
light,25,22.0,"['Beauty', 'Jewellery', 'Skincare', 'Sun Care', 'Electronics', 'Body Care']",4.12,2178.0,6,41.0
oily,25,14.2,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.2,19976.0,4,27.2
women men,25,20.0,"['Beauty', 'Skincare', 'Hair Care', 'Body Care']",4.24,31600.0,4,36.2
broad,25,7.3,"['Beauty', 'Skincare', 'Sun Care']",4.2,25599.0,3,20.6
spectrum,25,7.3,"['Beauty', 'Skincare', 'Sun Care']",4.2,25599.0,3,20.6
broad spectrum,25,7.3,"['Beauty', 'Skincare', 'Sun Care']",4.2,25599.0,3,20.6
long,24,18.3,"['Beauty', 'Jewellery', 'Skincare', 'Hair Care', 'Toilet Cleaners', 'Electronics', 'Body Care']",4.03,13973.0,7,26.3
sensitive,24,13.5,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.27,17991.0,4,31.7
size,24,17.9,"['Clothing Women', 'Kitchen']",4.14,15714.0,2,35.099999999999994
floor,24,14.6,['Household Cleaners'],4.3,16757.0,1,
battery,23,14.8,"['Toys', 'Electronics']",4.12,19692.0,2,32.900000000000006
salicylic,23,16.9,"['Beauty', 'Skincare', 'Hair Care', 'Body Care']",4.15,14881.0,4,33.2
body lotion,23,17.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.33,60197.0,4,33.7
fall,23,14.7,"['Beauty', 'Hair Care']",4.13,9959.0,2,34.3
chicken,23,15.6,['Pet Care'],4.26,10130.0,1,
set of,22,12.7,"['Books', 'Jewellery', 'Toys', 'Kitchen']",3.83,288.0,4,28.4
tested,22,11.5,"['Beauty', 'Skincare', 'Hair Care', 'Sun Care']",4.18,17428.0,4,27.7
growth,22,10.6,"['Beauty', 'Hair Care']",4.2,13485.0,2,28.0
hair growth,22,10.6,"['Beauty', 'Hair Care']",4.2,13485.0,2,28.0
boys girls,22,13.6,['Toys'],4.08,6346.0,1,
sun,22,15.0,"['Skincare', 'Sun Care']",4.1,12212.0,2,28.5
cat,22,16.8,['Pet Care'],4.26,5844.0,1,
flavour,22,15.0,['Pet Care'],4.27,10644.0,1,
storage,21,13.6,"['Kitchen', 'Toys', 'Electronics']",4.08,3250.0,3,31.6
